id,name,rollNo,email,phone,gender,age,department,year,section,cgpa,address,city,state,country
160,Stewart Lockman,ROLL1160,Gayle_Grant46@gmail.com,364.778.9530 x44616,Female,20,CSE,3,A,9.54,66229 Winston Rue,Alexanneville,Louisiana,India
161,Ms. Melanie Brakus,ROLL1161,Orville.Moore70@hotmail.com,1-335-948-1723 x995,Male,23,ECE,3,D,6.74,62137 Lemke Coves,Ashburn,North Dakota,India
162,Erica Berge-Veum III,ROLL1162,Daija.Huel90@gmail.com,804-760-4406 x146,Female,21,IT,4,C,5.45,2408 Effertz Falls,South Stanley,Arizona,India
163,Ramona Moen,ROLL1163,Roy_Cummerata@gmail.com,(783) 868-2300 x6977,Male,25,MECH,1,C,6.84,5515 S 4th Street,East Bernita,California,India
164,Maggie Beahan,ROLL1164,Jensen98@hotmail.com,219-660-4714 x44901,Female,25,CIVIL,2,B,6.93,12034 Hannah Grove,Yostview,Kansas,India
165,Carlos Pacocha V,ROLL1165,Darrion_Abbott@gmail.com,852-879-5518,Female,22,MECH,2,C,6.30,7301 Bogan Dale,Lake Elena,Nevada,India
166,Bernard Metz,ROLL1166,Eryn.Runolfsson@hotmail.com,1-752-240-9574 x517,Male,21,CSE,4,A,8.78,1533 Langworth Mall,South Noemy,South Dakota,India
167,Josephine Hintz,ROLL1167,Walker_Nicolas42@gmail.com,771-824-8558,Male,22,EEE,4,A,9.08,341 Kertzmann Ways,New Kennithborough,Wyoming,India
168,Nathan Pacocha,ROLL1168,Jo.Kessler@yahoo.com,217-652-6918 x2517,Female,24,CSE,3,A,5.40,3098 Greenfelder Trace,Findlay,Washington,India
169,Dr. Beverly Considine-Quitzon Jr.,ROLL1169,Danial18@yahoo.com,454-581-3451 x8229,Female,25,CSE,1,B,7.28,534 Wilderman Freeway,Tannerchester,Texas,India
170,Matt Wolff,ROLL1170,Effie.Morissette66@hotmail.com,(823) 865-5810 x7382,Male,19,IT,1,A,6.19,2722 Murazik Throughway,Fort Trystanstad,Minnesota,India
171,Florence Zulauf III,ROLL1171,Dorothea_Bailey@gmail.com,377.862.6649 x724,Other,25,CSE,2,B,6.45,36010 Estell Plain,New Daxtown,Idaho,India
172,Alma Cassin,ROLL1172,Ottis.Emard@yahoo.com,921-374-1455 x35837,Male,24,MECH,2,C,5.52,453 Eleazar Crest,New Daphneetown,Kansas,India
173,Francisco Brown,ROLL1173,Krystel97@hotmail.com,213.985.7190 x76313,Other,25,MECH,3,C,5.45,193 Cronin Estate,Port Jeanettefurt,Idaho,India
174,Bennie Torphy,ROLL1174,Willard.Walsh@yahoo.com,624.423.4524 x82155,Female,25,IT,3,C,9.81,711 Tower Road,West Simoneberg,Illinois,India
175,Antoinette Beahan,ROLL1175,Brigitte.Terry62@hotmail.com,1-749-209-8132 x877,Male,25,IT,3,D,9.27,556 N Central Avenue,West Terrellstead,Michigan,India
176,Maxine Kuhic PhD,ROLL1176,Milo.Heathcote34@yahoo.com,(214) 457-3710 x0072,Female,18,MECH,1,D,6.39,691 Kessler Rue,Spinkahaven,Oregon,India
177,Freda Hansen,ROLL1177,Norma.Carroll19@gmail.com,462-865-4393 x685,Other,23,IT,2,B,8.79,893 Walton Fields,Alenashire,Alabama,India
178,Matthew Bailey,ROLL1178,Gillian.Conn50@hotmail.com,(829) 309-4585 x7901,Other,23,CIVIL,1,B,9.48,3608 Nikolaus Estate,Roanoke,Minnesota,India
179,Erma MacGyver,ROLL1179,Meaghan_Adams93@yahoo.com,774-683-5306 x7785,Other,21,EEE,1,D,5.95,90920 Howard Street,Hermanburgh,Florida,India
180,Stewart Will-Pfannerstill,ROLL1180,Domenico_Pacocha60@yahoo.com,513-881-1285 x300,Male,19,CSE,2,B,8.85,79297 W 2nd Street,Grimesview,Wisconsin,India
181,Eugene Kemmer-Wiegand,ROLL1181,Monica16@hotmail.com,308.379.6980 x507,Female,19,MECH,1,C,9.64,4329 Oxford Street,Tinley Park,Rhode Island,India
182,Ms. Jody Cummerata,ROLL1182,Alba_Konopelski@hotmail.com,1-954-463-8618 x0737,Male,18,EEE,3,C,9.39,329 Madison Avenue,West Soledadshire,Idaho,India
183,Kerry Murphy I,ROLL1183,Magali_Donnelly@gmail.com,852-694-8836,Male,22,MECH,1,C,7.94,587 W Central Avenue,Myrnatown,Maine,India
184,Robert Lesch,ROLL1184,Judy.Hettinger@yahoo.com,894-506-8216,Other,18,IT,3,A,9.37,7304 Old Lane,South Lutherbury,Washington,India
185,Dustin Hahn,ROLL1185,Ilene73@yahoo.com,234.228.3152 x20996,Male,20,IT,2,C,7.37,6238 Laurel Close,West Patriciaboro,Delaware,India
186,Kristie Boyle,ROLL1186,Yolanda50@gmail.com,240.976.1696 x44342,Other,21,IT,1,D,9.96,97483 Woodlands,Las Cruces,West Virginia,India
187,Wilbur Renner,ROLL1187,Karine89@yahoo.com,1-698-704-6706,Other,23,ECE,3,D,7.34,49941 Bulah Bridge,West Marge,Iowa,India
188,Kerry Mosciski,ROLL1188,Hyman_Buckridge4@hotmail.com,1-621-350-0298 x624,Other,19,CSE,3,C,9.75,888 Bogan Junctions,East Marcellus,Tennessee,India
189,Casey O'Kon,ROLL1189,Litzy60@hotmail.com,872.215.7130,Female,20,IT,2,D,9.78,35182 Golda Expressway,Emmerichcester,South Carolina,India
190,Alexandra Kuhlman III,ROLL1190,Quincy.Breitenberg@gmail.com,1-280-432-7158,Male,18,ECE,4,B,8.72,3198 Zboncak Stream,New Ida,Alaska,India
191,Francis Satterfield,ROLL1191,Delphine.Deckow63@gmail.com,347-611-1926 x9228,Male,22,CSE,4,B,5.88,466 Hauck Estate,McClureside,Indiana,India
192,Ginger Collier,ROLL1192,Loren29@yahoo.com,270.562.3378 x1763,Female,25,IT,1,B,9.34,498 Beatty Brook,Kshlerincester,Utah,India
193,Dana Mann,ROLL1193,Destin_Runolfsdottir71@gmail.com,926-813-8074,Male,23,EEE,3,D,5.06,912 Beier Via,Merced,Texas,India
194,Carroll Hayes,ROLL1194,Leda72@hotmail.com,724.452.4749 x521,Male,24,IT,2,D,7.40,72058 Smith Lake,Demondchester,Missouri,India
195,Vickie Batz,ROLL1195,Sean_Kuphal69@gmail.com,1-386-767-7945 x78321,Female,22,CSE,3,A,9.79,713 Wellington Road,Scottyhaven,Vermont,India
196,Craig Glover,ROLL1196,Vena_Schneider97@hotmail.com,(601) 684-5125 x57692,Other,22,IT,3,B,8.46,54291 Hammes Highway,Cristianfurt,South Carolina,India
197,Darla Renner,ROLL1197,Hillary_Brakus46@hotmail.com,(915) 239-6679 x16092,Female,25,ECE,2,B,5.15,5686 E River Road,Danielville,Louisiana,India
198,Myra Lemke DVM,ROLL1198,Lulu_Deckow38@hotmail.com,(203) 445-9156 x163,Female,25,IT,3,C,8.47,57271 Jon Unions,Larsonboro,New York,India
199,Juanita Bernhard II,ROLL1199,Ofelia61@gmail.com,845.589.1663 x35760,Female,22,CSE,3,D,5.27,123 Jefferson Street,East Micaelafort,Maine,India
200,Dr. Marcos Spencer,ROLL1200,Fanny_Kshlerin50@yahoo.com,942.326.9152 x356,Other,19,ECE,2,D,8.96,870 Kemmer Corners,South Herbert,Oklahoma,India
201,Emanuel Mitchell,ROLL1201,Leanna.Steuber@gmail.com,1-681-458-3481,Female,18,CIVIL,1,C,6.64,8613 S Pine Street,East Columbusview,Idaho,India
202,Keith Kessler,ROLL1202,Devon.Nader40@hotmail.com,(252) 668-1342 x643,Male,18,MECH,4,D,7.69,5070 Wade Parks,Connworth,Vermont,India
203,Mr. Lionel Denesik I,ROLL1203,Nico64@gmail.com,1-986-515-1236 x4741,Male,21,CSE,1,D,5.05,22118 Nolan Turnpike,East Steviefurt,Rhode Island,India
204,Claudia Rohan,ROLL1204,Abdullah41@hotmail.com,644.465.5120 x13879,Female,24,CSE,1,D,5.09,2344 Runolfsson Heights,Port Ricardohaven,Wyoming,India
205,Sophia Ullrich,ROLL1205,Fernando_Kreiger@hotmail.com,975-764-2385 x05271,Female,18,ECE,3,D,7.19,699 Crooks River,Cruzcester,Delaware,India
206,Conrad Doyle,ROLL1206,Chaz_Graham@yahoo.com,1-221-785-3497 x2731,Female,23,ECE,3,A,6.28,89623 Celestino Rue,North Elroy,Louisiana,India
207,Michelle Grimes,ROLL1207,Casper.Tremblay41@yahoo.com,906-502-5667,Female,22,IT,2,A,6.86,8162 Cedar Road,Lake Havasu City,Arizona,India
208,Rosa Wilkinson,ROLL1208,Troy_Mayert@hotmail.com,(343) 577-4646,Male,22,ECE,1,C,8.96,83583 Homenick Route,Rochester Hills,Alaska,India
209,Clara Barton Jr.,ROLL1209,Isabel_Hagenes79@hotmail.com,853.330.6183 x9317,Female,18,IT,3,B,9.31,4876 Grand Avenue,East Lane,South Dakota,India
210,Marianne Bosco,ROLL1210,Montana59@hotmail.com,396-610-2624,Other,18,IT,2,C,7.06,345 Kertzmann Pines,Soledadhaven,Washington,India
211,Earl Wolff,ROLL1211,Peter68@hotmail.com,(833) 870-6121,Other,20,CSE,1,A,9.44,76722 Della Stravenue,Adamston,North Carolina,India
212,Laverne Greenfelder,ROLL1212,Alfonso_Fay0@yahoo.com,(658) 227-8570,Male,20,ECE,3,A,8.70,6413 Murphy Viaduct,New Bennyhaven,Maine,India
213,Bessie Ernser,ROLL1213,Friedrich23@gmail.com,421-767-8185,Female,20,CSE,1,C,6.81,3409 Lesly Valley,Lake Devante,Rhode Island,India
214,Timothy Erdman,ROLL1214,Isadore9@hotmail.com,1-680-515-0275 x1914,Female,22,CSE,1,A,7.92,87584 Block Radial,Poinciana,Iowa,India
215,Gordon Sporer,ROLL1215,Theodora81@yahoo.com,(783) 976-6983,Female,24,EEE,2,D,8.39,828 Veum Trail,Rennerboro,California,India
216,Jennifer VonRueden,ROLL1216,Cyrus.Pfeffer-Price82@yahoo.com,960-761-4214 x0972,Male,24,CIVIL,4,D,7.06,4657 Bath Road,Port Theron,Mississippi,India
217,Woodrow Ritchie,ROLL1217,Alana.Tillman96@yahoo.com,1-894-624-2631 x4331,Female,23,MECH,1,C,7.61,7093 Cary Crossing,Fort Willamouth,Massachusetts,India
218,Carla Heller,ROLL1218,Wilson.Dare87@gmail.com,(301) 717-3919 x819,Other,20,MECH,2,B,5.90,99923 Yvonne Forks,Joellecester,Alaska,India
219,Jesus McCullough,ROLL1219,Chauncey.Stehr@gmail.com,764.811.0216 x8886,Female,18,EEE,2,C,7.93,20676 Aspen Close,Dothan,Maryland,India
220,Alfonso Kohler,ROLL1220,Keira.Glover34@gmail.com,1-328-328-9308 x26413,Female,21,CIVIL,4,B,5.41,785 Richmond Road,Lake Terrancehaven,Montana,India
221,Edwin Blanda,ROLL1221,Jacky.Schuppe50@hotmail.com,348-369-1873 x47712,Other,21,IT,3,C,7.84,550 Sim Villages,Denisshire,South Carolina,India
222,Dr. Guadalupe Towne,ROLL1222,Ivory34@gmail.com,1-672-627-5125 x881,Other,24,IT,3,B,8.85,2712 Feeney Cove,Nicolasboro,Arkansas,India
223,Melvin Terry,ROLL1223,Bonnie72@hotmail.com,731.516.2873,Female,19,EEE,2,B,8.48,5468 Daija Club,New Zena,Georgia,India
224,Terence Beier,ROLL1224,Marcelo62@gmail.com,376-983-0496 x66878,Other,18,EEE,3,C,8.56,28325 Eliane Trafficway,Rowlett,Nebraska,India
225,Kenny Altenwerth,ROLL1225,Zackary.Bode73@yahoo.com,1-494-904-4956 x780,Male,21,IT,4,D,9.51,7188 W River Road,Waterloo,Iowa,India
226,Miss Emily Swift III,ROLL1226,Noemy.Buckridge35@hotmail.com,(788) 857-1709 x4615,Male,19,CIVIL,2,A,8.85,5472 Pouros Mews,East Marianafurt,New Jersey,India
227,Evelyn Emmerich III,ROLL1227,Thalia18@gmail.com,799-487-9354 x462,Female,20,EEE,3,D,5.60,3260 Bergnaum Lake,San Antonio,Vermont,India
228,Kara Glover Sr.,ROLL1228,Mallie.Lehner@gmail.com,429.716.8232 x462,Female,22,ECE,4,B,6.57,9858 Konopelski Union,Cerritos,Wyoming,India
229,Leslie Little,ROLL1229,Emiliano.Swift-Carter47@hotmail.com,1-943-280-1929 x44337,Male,21,CIVIL,2,D,7.19,516 Ziemann Garden,West Abigayleberg,North Carolina,India
230,Leroy Maggio,ROLL1230,Tiffany_OConner@yahoo.com,1-850-669-7012 x5767,Other,19,CIVIL,1,C,7.32,8967 Laurence Bridge,Modesto,Illinois,India
231,Kristy Steuber,ROLL1231,Makenzie_Braun73@gmail.com,(240) 328-1689 x733,Male,24,MECH,3,C,9.96,7559 Eusebio Rue,East Martinaville,Colorado,India
232,Margarita Welch,ROLL1232,Lazaro34@yahoo.com,528.238.8660 x432,Other,23,IT,4,C,9.69,3689 Zola Path,Considineport,Wyoming,India
233,Johnathan Aufderhar DDS,ROLL1233,Jackeline_Douglas32@yahoo.com,673-873-5425 x34735,Other,20,MECH,2,D,9.34,7432 Meadow Drive,Alishashire,New Jersey,India
234,Priscilla Marvin,ROLL1234,Hyman_Koch72@hotmail.com,931.393.1950 x72078,Female,25,MECH,3,D,5.13,56784 Delmer Forge,Melbourne,Vermont,India
235,Caleb Haag,ROLL1235,Max45@gmail.com,1-706-907-4988 x9318,Other,19,CIVIL,1,A,7.42,21120 S Broad Street,East Jefferystead,Maryland,India
236,Miss Mindy Aufderhar,ROLL1236,Reece9@gmail.com,892-873-8687,Male,23,IT,2,C,6.69,4419 Halvorson Points,Murazikbury,Hawaii,India
237,Mable Funk,ROLL1237,Virginie.Collins91@gmail.com,(266) 481-1823 x503,Other,21,CSE,2,C,6.15,3176 Jones Curve,Lake Stanfordton,Utah,India
238,Brenda Steuber,ROLL1238,Jacynthe_Stoltenberg6@yahoo.com,(595) 787-3488 x5872,Female,19,MECH,2,D,6.15,58083 Koelpin Streets,Aftonside,New York,India
239,Wade Paucek,ROLL1239,Savannah19@hotmail.com,675-924-5674,Female,21,IT,2,A,8.91,714 E Jefferson Street,Reynoldshire,Illinois,India
240,Cathy Fay,ROLL1240,Weston.Wilderman@gmail.com,366.902.3494 x7001,Other,20,MECH,1,C,5.81,4266 Common Lane,Clarafurt,Missouri,India
241,Myron Roberts,ROLL1241,Vivian.Gusikowski51@gmail.com,905-542-6348,Male,19,EEE,2,B,7.87,2501 Jillian Ridges,Lucienneberg,Alaska,India
242,Gayle Romaguera,ROLL1242,Frances61@yahoo.com,822-633-6931 x7975,Female,22,EEE,2,A,8.84,5770 Kuphal Junctions,East Delphine,Michigan,India
243,Mr. Irving Rowe,ROLL1243,Anabel.Sauer@yahoo.com,771-687-4506 x118,Male,20,CSE,2,A,5.92,97678 A Street,Erdmancester,Arizona,India
244,Iris Dickens V,ROLL1244,Albin_Harber72@gmail.com,669-290-7251,Other,18,MECH,1,C,6.99,14406 E 2nd Street,Altenwerthtown,Alabama,India
245,Ralph Daugherty,ROLL1245,Mabel.Kemmer@hotmail.com,1-859-537-9278 x18450,Female,23,ECE,2,C,7.91,9978 Cole Canyon,Rettaside,Illinois,India
246,Julio Jerde,ROLL1246,Emma_Friesen-Volkman@gmail.com,745-252-3960 x9539,Female,20,CIVIL,3,D,6.63,6329 Park Drive,South Kraig,Delaware,India
247,Jeffrey Kihn,ROLL1247,Daryl.Langworth80@hotmail.com,(426) 317-1291 x918,Male,20,CSE,4,B,6.09,928 Tressie Parkways,Pine Bluff,New Mexico,India
248,Jo Langosh,ROLL1248,Janessa10@gmail.com,1-361-238-9776 x0387,Other,20,IT,2,C,6.48,435 Waylon Valley,East Kirk,Delaware,India
249,Salvatore Carter V,ROLL1249,Dedric_Graham@yahoo.com,1-510-387-4270 x1349,Other,23,EEE,1,D,7.37,49281 Wellington Road,Maximilianton,Texas,India
250,Gertrude Bruen,ROLL1250,Mozelle.Gorczany@hotmail.com,1-510-527-2921 x8415,Female,21,ECE,2,B,7.63,70538 Gibson Heights,Nicolasstad,Illinois,India
251,Clara Jerde,ROLL1251,Russell_Goldner@hotmail.com,295.967.6274 x2563,Male,25,CIVIL,3,C,5.36,24308 Lloyd Lane,East Lansing,Michigan,India
252,Marta Mosciski,ROLL1252,Autumn_Wisoky@hotmail.com,(765) 224-4774,Male,22,IT,2,C,5.60,115 N Main,Fort Otho,Tennessee,India
253,Alicia Miller,ROLL1253,Dayton_Cronin7@yahoo.com,336-636-2986 x693,Male,23,CIVIL,3,B,8.30,2134 Second Avenue,Fort Ruthie,New Mexico,India
254,Jan Herman,ROLL1254,Elenora82@yahoo.com,445-440-3030 x63215,Female,20,EEE,2,A,6.22,637 The Willows,San Tan Valley,Connecticut,India
255,Toby Pfeffer,ROLL1255,Brooklyn11@yahoo.com,(230) 578-3815 x97496,Other,21,EEE,2,C,8.90,60847 Milford Walks,Adeliaboro,Pennsylvania,India
256,Miss Stephanie Simonis,ROLL1256,Eriberto7@yahoo.com,231.732.9500 x8377,Male,24,CIVIL,3,A,6.18,8606 Charlene Island,Parker,Utah,India
257,Philip Considine,ROLL1257,Chesley.Wolff40@hotmail.com,628.556.9758 x811,Female,25,EEE,4,B,7.23,10294 Littel Path,Coon Rapids,North Carolina,India
258,Bruce Kassulke,ROLL1258,Zoie.Keebler@yahoo.com,414.564.7805 x495,Female,24,IT,3,D,6.46,355 Olson Expressway,New Marcella,Virginia,India
259,Courtney Hayes,ROLL1259,Vidal.Jacobs52@hotmail.com,577.383.9224 x032,Male,24,CIVIL,2,A,6.37,50955 DuBuque Land,Apex,Mississippi,India
260,Dr. Robyn Mertz,ROLL1260,Jacey_Simonis9@gmail.com,708-637-8334 x298,Other,20,CIVIL,1,A,5.30,1147 Hall Lane,North Christopfield,Maryland,India
261,Ismael Altenwerth,ROLL1261,Alexandra.Reilly@yahoo.com,826-281-9117 x730,Female,22,EEE,4,B,9.51,25143 2nd Street,Auertown,Colorado,India
262,Whitney Shanahan,ROLL1262,Trudie52@yahoo.com,1-457-224-0073 x308,Other,25,CSE,1,A,9.35,5818 W 6th Avenue,New Kayceeboro,Vermont,India
263,Ian Miller,ROLL1263,Rowland65@yahoo.com,(634) 599-4813 x8299,Other,18,CIVIL,3,D,9.38,177 N 5th Street,Grantshire,Utah,India
264,Molly Thiel,ROLL1264,Cyril.Grimes67@gmail.com,580.641.0749 x375,Female,25,CIVIL,3,A,9.25,432 Maggio Lane,South Donstad,Delaware,India
265,Estelle Emmerich,ROLL1265,Virgil74@hotmail.com,(454) 977-0527,Male,25,CIVIL,4,D,5.40,909 Ed Light,North Ernestina,North Dakota,India
266,Victor Pacocha,ROLL1266,Berneice74@gmail.com,1-909-491-0124 x98903,Female,24,CSE,3,C,6.75,4595 Arno Mill,Nataliebury,Nevada,India
267,Jeffrey Walsh,ROLL1267,Fanny.Parisian@hotmail.com,970-991-3899 x780,Other,24,IT,4,A,8.27,97706 W 6th Avenue,Simi Valley,New Jersey,India
268,Aubrey Vandervort,ROLL1268,Addie.Friesen@hotmail.com,1-723-899-7902,Male,19,CIVIL,1,A,5.31,393 Manor Gardens,Devinchester,Delaware,India
269,Brenda Tremblay,ROLL1269,Cleveland21@gmail.com,947.238.3508 x6332,Male,22,IT,3,B,7.77,44048 Avenue Road,Gaetanoshire,Utah,India
270,Shelia Wyman,ROLL1270,Vance60@gmail.com,528-381-5560 x74576,Other,18,CIVIL,2,A,6.20,81199 Clarence Road,Smithfurt,Missouri,India
271,Marcos Beatty,ROLL1271,Name_Dietrich50@gmail.com,(343) 522-9009 x39396,Male,23,MECH,4,C,8.46,2986 The Fairway,Sunrise,Oregon,India
272,Alton Nikolaus,ROLL1272,Winifred.Mann@gmail.com,829.406.9060 x3931,Male,24,ECE,4,B,6.65,25480 West Lane,Stiedemanntown,Texas,India
273,Wallace Quitzon,ROLL1273,Braeden3@yahoo.com,953.916.2637,Male,20,CSE,1,B,5.65,49350 Pedro Plains,South Robert,West Virginia,India
274,Frank Watsica DVM,ROLL1274,Forest_Lowe97@yahoo.com,(645) 766-8772 x2824,Female,22,CIVIL,3,A,7.95,44607 Ignatius Courts,Shayleeside,Iowa,India
275,Lula Schmitt,ROLL1275,Kaley.Koelpin@gmail.com,217-655-4608 x5647,Other,18,EEE,4,D,7.82,3483 Kelsie Gardens,Beaulahcester,New York,India
276,Dr. Salvador Hoeger,ROLL1276,Jamarcus.Wuckert@gmail.com,980.657.1266,Male,20,IT,4,B,6.74,832 Benton Drive,Carleeberg,Vermont,India
277,Henry Wuckert,ROLL1277,Cornelius42@yahoo.com,(635) 248-2785 x204,Female,20,ECE,1,C,6.30,889 School Close,North Dannie,Massachusetts,India
278,Frankie Hamill-Lindgren,ROLL1278,Estevan.Ankunding26@hotmail.com,295.463.3347 x87292,Other,18,CSE,4,C,6.00,8302 Hunter Prairie,Braunfurt,Maine,India
279,Ronald Leffler,ROLL1279,Alphonso_Padberg@hotmail.com,683-794-4864 x19412,Other,23,CSE,2,B,9.82,5143 S Union Street,Belleville,Maine,India
280,Geraldine Cremin,ROLL1280,Roel.OKon-Keeling@hotmail.com,442-569-3743,Male,19,CIVIL,4,D,7.75,789 Howe Flats,West Lawrenceside,Maryland,India
281,Antonia Lockman,ROLL1281,Sierra_Welch4@hotmail.com,950-700-8441,Female,20,IT,3,B,9.63,9631 Lindgren Junction,South Reta,Oregon,India
282,Lorenzo Littel,ROLL1282,Nathanael_Hackett@hotmail.com,(393) 371-6168 x92770,Female,23,EEE,2,B,9.15,9692 Sycamore Street,Turlock,Washington,India
283,Emmett Bernhard,ROLL1283,Johnny_Welch@hotmail.com,1-944-478-3122,Female,21,CIVIL,4,B,7.47,341 Main Street E,Tremblayfort,Minnesota,India
284,Delia Bechtelar,ROLL1284,Otho_Koch98@gmail.com,(335) 513-2513 x228,Other,19,CSE,4,C,8.88,10653 Andre Junctions,Trantowmouth,Arizona,India
285,Bonnie Hessel,ROLL1285,Dortha37@yahoo.com,201-747-5826 x16861,Male,25,CSE,4,D,8.00,404 Skiles Club,West Hartford,Rhode Island,India
286,Delbert Kuhn,ROLL1286,Kathlyn_Pollich15@gmail.com,332.921.7817 x157,Other,22,CIVIL,1,A,8.64,21709 Quitzon Park,Schambergerborough,Delaware,India
287,Cecelia Stamm,ROLL1287,Alexandra_Brekke98@hotmail.com,(616) 739-3214,Female,21,IT,1,B,7.33,3862 Mercedes Course,North Jordynfort,Idaho,India
288,Dr. Frankie Lynch,ROLL1288,Mina.Keebler44@yahoo.com,402-793-2888,Female,21,EEE,2,B,7.08,4677 Bramble Close,Isaacland,Wisconsin,India
289,Lorena Bogan-Reynolds,ROLL1289,Asia_Reichert15@gmail.com,1-477-920-5258 x95274,Male,23,MECH,1,D,5.51,1491 Cedar Grove,Port Faustoview,Georgia,India
290,Lloyd Crona,ROLL1290,Alivia93@yahoo.com,210-856-3946 x46437,Female,21,MECH,3,D,5.03,8589 Koelpin Mills,Andreborough,Texas,India
291,Sherman Harris-Hartmann,ROLL1291,Lenna.OConnell64@gmail.com,868-883-1215 x2894,Male,24,EEE,2,B,7.27,380 Adams Gardens,Utica,Idaho,India
292,Fredrick Schultz,ROLL1292,Franco_Weimann39@gmail.com,604.219.4485 x5190,Female,23,ECE,2,B,8.91,10170 Kobe Land,Elissashire,South Carolina,India
293,Alberto Batz,ROLL1293,Karli83@hotmail.com,855-994-0843 x341,Other,23,ECE,4,D,9.46,6414 Ludie Lights,Myaville,Missouri,India
294,Alonzo Feil,ROLL1294,Madonna31@gmail.com,1-513-476-7018,Female,20,ECE,1,D,6.36,72822 Spring Street,Stephonshire,Vermont,India
295,Maurice Upton,ROLL1295,Camren_Marks91@gmail.com,1-915-830-2749,Other,23,IT,4,B,9.15,909 Kris Creek,Chandlerfort,Maine,India
296,Mr. Roosevelt Stark,ROLL1296,Fanny_OConnell8@gmail.com,250.257.2685 x7014,Male,18,CSE,1,A,5.03,4844 Olson Loaf,Port Tanya,Connecticut,India
297,Brett Vandervort,ROLL1297,Savannah.Schmeler@hotmail.com,1-893-819-9469 x02576,Other,24,CIVIL,2,C,7.69,6804 Kingfisher Close,East Trevershire,Arkansas,India
298,Alonzo Crist,ROLL1298,Jillian23@gmail.com,640-563-5068 x9161,Female,19,CIVIL,2,A,5.52,46553 Canal Street,Purdyville,New Hampshire,India
299,Virginia Hills,ROLL1299,Mauricio30@gmail.com,(403) 851-7584,Other,23,EEE,4,C,6.24,779 Bernier Land,New Saulburgh,New Mexico,India
300,Terrell Hyatt,ROLL1300,Crystel.Schaden85@hotmail.com,524-891-4016 x000,Other,18,IT,1,A,5.58,7096 Emard Path,Madisonburgh,Delaware,India
301,Danny Goodwin,ROLL1301,Gage.Muller35@yahoo.com,731.745.1831 x4615,Female,19,EEE,1,B,9.62,53201 Precious Trafficway,Dooleyfurt,Minnesota,India
302,Ms. Cecelia Monahan-Kunde,ROLL1302,Teagan_Beer34@yahoo.com,(246) 752-7314 x029,Male,18,MECH,3,B,6.12,1245 Balistreri Knoll,Mrazfield,New Jersey,India
303,Micheal Smitham,ROLL1303,Gianni_McGlynn30@hotmail.com,(885) 927-6212 x124,Male,18,CIVIL,2,D,8.77,231 Green Close,Ames,Maine,India
304,Veronica Rempel,ROLL1304,Noemie.Gibson@gmail.com,(333) 314-8128,Female,22,CSE,1,D,7.14,1829 Kiehn Skyway,South Citlallistead,Iowa,India
305,Dr. Caleb Simonis,ROLL1305,Kraig_Shanahan70@yahoo.com,1-256-614-5478,Female,20,CSE,4,A,5.18,73497 Ethelyn Parkway,East Suzanneside,Oregon,India
306,Corey McGlynn,ROLL1306,Chelsey_OKeefe@yahoo.com,1-406-668-6710 x4480,Female,22,IT,2,D,8.27,2892 The Beeches,North Elsiecester,Minnesota,India
307,Miss Hazel Bayer,ROLL1307,Domenico_Sauer@hotmail.com,347.561.9497,Other,21,ECE,4,C,6.08,95211 Demario Grove,Fort Hayliefield,Iowa,India
308,Judy Lang,ROLL1308,Gretchen53@yahoo.com,601-506-0870,Female,23,CSE,2,B,5.85,5188 Nolan Freeway,Hayward,Arkansas,India
309,Terry Monahan,ROLL1309,Kelsi.Hahn@gmail.com,719-286-2440 x22860,Male,25,CIVIL,3,C,7.87,25414 Emmerich Extension,North Carlos,Utah,India
310,Dr. Faye Dickens,ROLL1310,Gustave18@yahoo.com,811-601-7284 x1381,Female,24,MECH,4,C,8.49,1033 Steuber Pine,Wesley Chapel,Washington,India
311,Roxanne Kemmer,ROLL1311,Ellie49@hotmail.com,(515) 536-1442 x509,Other,25,ECE,2,C,7.50,8356 Tyler Motorway,Lake Martyport,California,India
312,Sylvia Nolan,ROLL1312,Antone.Moore@yahoo.com,(429) 887-8956 x84709,Female,25,IT,3,C,9.21,1020 Magdalen Landing,Trantowchester,Connecticut,India
313,Taylor Armstrong Sr.,ROLL1313,Shanny.Ebert@hotmail.com,(723) 704-7542 x667,Male,20,CIVIL,4,D,6.81,68742 Kilback Spurs,Lake Beatricebury,Nebraska,India
314,Dianne Franey,ROLL1314,Guiseppe.Kris21@hotmail.com,1-568-888-6310 x0192,Other,25,CIVIL,4,B,5.11,5580 Lavada Fork,Altheaville,Tennessee,India
315,Hugh Boyle,ROLL1315,Virgie.Stokes@gmail.com,891-558-2302 x1287,Other,20,IT,3,A,9.22,192 N Bridge Street,Zachariahboro,West Virginia,India
316,Rosie Wolf-Hane,ROLL1316,Santos44@gmail.com,1-488-217-1812,Other,22,MECH,3,C,8.65,2922 Nikki Curve,New Tess,Indiana,India
317,Ms. Cecilia Bogan MD,ROLL1317,Kylee_McKenzie@gmail.com,548.788.2245 x46176,Male,18,EEE,1,B,7.87,6514 Harold Skyway,South Emerystad,Kentucky,India
318,Mrs. Julia Dibbert,ROLL1318,Janelle_Simonis72@gmail.com,924-304-8167,Other,24,CSE,4,C,6.28,37820 Laburnum Grove,Sanford,Alaska,India
